objectid,arrest_num,inc_num,charge_seq_num,charge_code,charge_desc,nibrs_code,nibrs_desc,arr_date,gender_desc,race_desc,ethnicity_desc,age,juvenile,hour_of_day,day_of_week,year,quarter,month,neighborhood,district
101126,20200012352,2020-1342,2,22212,DESTRUCTION OR INJURY OF PERSONAL PROPERTY,290,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2020-02-13,MALE,WHITE,NOT HISPANIC OR LATINX,40,NO,22,4,2020,1,2,Unknown,MBTA
101127,20200010202,202007411,1,21211,OTHER,Unknown,OTHER,2020-01-28,FEMALE,ASIAN,NOT HISPANIC OR LATINX,31,NO,11,3,2020,1,1,Roxbury,B2
101128,20200012402,192087899,1,41233,"DISTRIBUTION OF CLASS D, DRUGS WITHIN 100' PLAY GROUND",35A,DRUG/NARCOTIC VIOLATIONS,2020-02-04,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,28,NO,13,3,2020,1,2,Roxbury,B2
101129,20200010202,202007411,2,41313,"POSSESSION OF CLASS B, DRUGS",35A,DRUG/NARCOTIC VIOLATIONS,2020-01-28,FEMALE,ASIAN,NOT HISPANIC OR LATINX,31,NO,11,3,2020,1,1,Roxbury,B2
101130,20200012404,202007449,1,21129,TRESPASSING,90J,TRESSPASSING,2020-01-28,MALE,WHITE,NOT HISPANIC OR LATINX,34,NO,12,3,2020,1,1,South End,D4
101131,20200012404,202007449,2,21425,LARCENY OVER $250,23H,ALL OTHER LARCENY,2020-01-28,MALE,WHITE,NOT HISPANIC OR LATINX,34,NO,12,3,2020,1,1,South End,D4
101132,20200055903,202066498,1,11918,ASSAULT BY MEANS OF A DANGEROUS WEAPON,13A,AGGRAVATED ASSAULT,2020-09-12,MALE,WHITE,HISPANIC OR LATINX,33,NO,6,7,2020,3,9,Dorchester,B3
101133,20200010211,202009870,1,12114,ASSAULT AND BATTERY ON A POLICE OFFICER (NO INJURIES),13A,AGGRAVATED ASSAULT,2020-02-06,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,26,NO,8,5,2020,1,2,Dorchester,C11
101134,20200012404,202007449,3,21425,LARCENY OVER $250,23H,ALL OTHER LARCENY,2020-01-28,MALE,WHITE,NOT HISPANIC OR LATINX,34,NO,12,3,2020,1,1,South End,D4
101135,20200055911,202051084,1,31214,OPERATING M/V WITHOUT A LICENSE,NR,MOTOR VEHICLE VIOLATIONS,2020-08-24,MALE,BLACK OR AFRICAN AMERICAN,HISPANIC OR LATINX,34,NO,8,2,2020,3,8,Dorchester,C11
101136,20200010211,202009870,2,12416,"PERSON, DISORDERLY",90C,DISORDERLY CONDUCT,2020-02-06,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,26,NO,8,5,2020,1,2,Dorchester,C11
101137,20200012404,202007449,4,22113,"BUYING, RECEIVING OR CONCEALING STOLEN GOODS",280,STOLEN PROPERTY OFFENSES,2020-01-28,MALE,WHITE,NOT HISPANIC OR LATINX,34,NO,12,3,2020,1,1,South End,D4
101138,20200056002,202045752,1,11118,ASSAULT WITH INTENT TO MURDER,120,ROBBERY,2020-07-27,MALE,WHITE,HISPANIC OR LATINX,21,NO,11,2,2020,3,7,Roxbury,B2
101139,20200010211,202009870,3,41313,"POSSESSION OF CLASS B, DRUGS",35A,DRUG/NARCOTIC VIOLATIONS,2020-02-06,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,26,NO,8,5,2020,1,2,Dorchester,C11
101140,20200056002,202045752,2,12214,UNLAWFUL POSSESSION OF FIREARM,520,WEAPON LAW VIOLATIONS,2020-07-27,MALE,WHITE,HISPANIC OR LATINX,21,NO,11,2,2020,3,7,Roxbury,B2
101141,20200012410,202007029,1,31112,OPERATING UNDER THE INFLUENCE OF ALCOHOL,90D,DRIVING UNDER THE INFLUENCE,2020-01-27,MALE,WHITE,HISPANIC OR LATINX,20,NO,0,2,2020,1,1,Downtown,A1
101142,20200010213,202030450,1,11923,ASSAULT AND BATTERY ON A POLICE OFFICER (INJURIES),13A,AGGRAVATED ASSAULT,2020-05-01,MALE,WHITE,NOT HISPANIC OR LATINX,34,NO,3,6,2020,2,5,Jamaica Plain,E13
101143,20200056002,202045752,3,12222,UNLAWFUL POSSESSION OF AMMUNITION,NR,OTHER PART II,2020-07-27,MALE,WHITE,HISPANIC OR LATINX,21,NO,11,2,2020,3,7,Roxbury,B2
101144,20200009005,202036827,1,41114,"TRAFFICKING; CLASS A, DRUGS 14-27 GRAMS",35A,DRUG/NARCOTIC VIOLATIONS,2020-05-28,MALE,BLACK OR AFRICAN AMERICAN,HISPANIC OR LATINX,22,NO,15,5,2020,2,5,West Roxbury,E5
101145,20200010213,202030450,2,11929,RESISTING ARREST,90C,DISORDERLY CONDUCT,2020-05-01,MALE,WHITE,NOT HISPANIC OR LATINX,34,NO,3,6,2020,2,5,Jamaica Plain,E13
101146,20200056002,202045752,4,41221,"DISTRIBUTION OF CLASS B, DRUGS",35A,DRUG/NARCOTIC VIOLATIONS,2020-07-27,MALE,WHITE,HISPANIC OR LATINX,21,NO,11,2,2020,3,7,Roxbury,B2
101147,20200009005,202036827,2,41224,"POSSESSION W/I TO DISTRIBUTE, CLASS B, DRUGS",35A,DRUG/NARCOTIC VIOLATIONS,2020-05-28,MALE,BLACK OR AFRICAN AMERICAN,HISPANIC OR LATINX,22,NO,15,5,2020,2,5,West Roxbury,E5
101148,20200056111,202061231,1,11917,ASSAULT BY MEANS OF A DANGEROUS WEAPON (KNIFE),13A,AGGRAVATED ASSAULT,2020-08-25,FEMALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,56,NO,21,2,2020,3,8,Dorchester,C11
101149,20200009005,202036827,3,41234,"DISTRIBUTION OF CLASS D, DRUGS",35A,DRUG/NARCOTIC VIOLATIONS,2020-05-28,MALE,BLACK OR AFRICAN AMERICAN,HISPANIC OR LATINX,22,NO,15,5,2020,2,5,West Roxbury,E5
101150,20200056211,202061307,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-08-25,FEMALE,WHITE,NOT HISPANIC OR LATINX,40,NO,22,2,2020,3,8,Dorchester,C11
101153,20200009252,2002-978,1,31112,OPERATING UNDER THE INFLUENCE OF ALCOHOL,90D,DRIVING UNDER THE INFLUENCE,2020-02-01,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,36,NO,0,7,2020,1,2,Unknown,MBTA
101154,20200010213,202030450,3,12416,"PERSON, DISORDERLY",90C,DISORDERLY CONDUCT,2020-05-01,MALE,WHITE,NOT HISPANIC OR LATINX,34,NO,3,6,2020,2,5,Jamaica Plain,E13
101156,20200009511,202009251,1,12611,OTHER,Unknown,OTHER,2020-02-04,MALE,WHITE,HISPANIC OR LATINX,51,NO,19,2,2020,1,2,Dorchester,C11
101157,20200009511,202009251,2,31211,OTHER,Unknown,OTHER,2020-02-04,MALE,WHITE,HISPANIC OR LATINX,51,NO,19,2,2020,1,2,Dorchester,C11
101158,20200009511,202009251,3,31214,OPERATING M/V WITHOUT A LICENSE,NR,MOTOR VEHICLE VIOLATIONS,2020-02-04,MALE,WHITE,HISPANIC OR LATINX,51,NO,19,2,2020,1,2,Dorchester,C11
101159,20200010213,202030450,4,22212,DESTRUCTION OR INJURY OF PERSONAL PROPERTY,290,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2020-05-01,MALE,WHITE,NOT HISPANIC OR LATINX,34,NO,3,6,2020,2,5,Jamaica Plain,E13
101163,20200065611,202075802,3,41313,"POSSESSION OF CLASS B, DRUGS",35A,DRUG/NARCOTIC VIOLATIONS,2020-10-15,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,43,NO,21,4,2020,4,10,Dorchester,C11
101166,20200065711,202075855,1,21131,"BREAKING & ENTERING A MOTOR VEHICLE, NIGHT",23G,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,2020-10-15,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,23,NO,1,5,2020,4,10,Dorchester,C11
101168,20200065903,202043876,1,12214,UNLAWFUL POSSESSION OF FIREARM,520,WEAPON LAW VIOLATIONS,2020-10-29,MALE,WHITE,HISPANIC OR LATINX,21,NO,17,5,2020,4,10,Dorchester,B3
101171,20200065903,202043876,2,12219,FIREARM DISCHARGED WITHIN 500 FT. OF DWELLING,520,WEAPON LAW VIOLATIONS,2020-10-29,MALE,WHITE,HISPANIC OR LATINX,21,NO,17,5,2020,4,10,Dorchester,B3
101173,20200065903,202043876,3,12222,UNLAWFUL POSSESSION OF AMMUNITION,NR,OTHER PART II,2020-10-29,MALE,WHITE,HISPANIC OR LATINX,21,NO,17,5,2020,4,10,Dorchester,B3
101176,20200065903,202043876,4,12611,OTHER,Unknown,OTHER,2020-10-29,MALE,WHITE,HISPANIC OR LATINX,21,NO,17,5,2020,4,10,Dorchester,B3
101179,20200066003,202080123,1,12111,OTHER,Unknown,OTHER,2020-10-30,FEMALE,WHITE,HISPANIC OR LATINX,25,NO,20,5,2020,4,10,Dorchester,B3
101180,20200002314,202007377,1,11811,OTHER,Unknown,OTHER,2020-01-28,MALE,WHITE,HISPANIC OR LATINX,14,YES,11,3,2020,1,1,Brighton,D14
101182,20200066003,202080123,2,12611,OTHER,Unknown,OTHER,2020-10-30,FEMALE,WHITE,HISPANIC OR LATINX,25,NO,20,5,2020,4,10,Dorchester,B3
101185,20200066111,202076415,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-10-17,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,62,NO,23,6,2020,4,10,Unknown,C11
101186,20200004007,202012756,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-02-16,MALE,WHITE,HISPANIC OR LATINX,18,YES,21,7,2020,1,2,East Boston,A7
101187,20200011410,202006454,1,11912,ASSAULT AND BATTERY BY MEANS OF A DANGEROUS WEAPON (GUN),13A,AGGRAVATED ASSAULT,2020-01-25,MALE,WHITE,NOT HISPANIC OR LATINX,21,NO,19,6,2020,1,1,Downtown,A1
101188,20200066610,202067690,1,41224,"POSSESSION W/I TO DISTRIBUTE, CLASS B, DRUGS",35A,DRUG/NARCOTIC VIOLATIONS,2020-09-16,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,23,NO,11,4,2020,3,9,Downtown,A1
101189,20200011410,202006454,2,22212,DESTRUCTION OR INJURY OF PERSONAL PROPERTY,290,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2020-01-25,MALE,WHITE,NOT HISPANIC OR LATINX,21,NO,19,6,2020,1,1,Downtown,A1
101190,20200006418,20218524,2,31217,LEAVING THE SCENE PROPERTY DAMAGE,NR,MOTOR VEHICLE VIOLATIONS,2020-03-07,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,46,NO,18,7,2020,1,3,Hyde Park,E18
101191,20200004105,202018403,1,12611,OTHER,Unknown,OTHER,2020-03-07,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,41,NO,10,7,2020,1,3,Roslindale,E5
101193,20200006505,202025956,1,12312,VIOLATION OF AN EXISTING RESTRAINING ORDER,90Z,ALL OTHER OFFENSES,2020-04-09,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,30,NO,10,5,2020,2,4,West Roxbury,E5
101195,20200006511,202007131,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-01-27,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,34,NO,12,2,2020,1,1,Dorchester,C11
101197,20200006511,202007131,2,41224,"POSSESSION W/I TO DISTRIBUTE, CLASS B, DRUGS",35A,DRUG/NARCOTIC VIOLATIONS,2020-01-27,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,34,NO,12,2,2020,1,1,Dorchester,C11
101201,20200004213,202010028,1,12624,FAILURE TO APPEAR IN COURT,90Z,ALL OTHER OFFENSES,2020-02-06,MALE,WHITE,HISPANIC OR LATINX,45,NO,10,5,2020,1,2,Jamaica Plain,E13
101202,20200004213,202010028,2,21129,TRESPASSING,90J,TRESSPASSING,2020-02-06,MALE,WHITE,HISPANIC OR LATINX,45,NO,10,5,2020,1,2,Jamaica Plain,E13
101203,20200004213,202010028,3,41312,"POSSESSION OF CLASS A, DRUGS",35A,DRUG/NARCOTIC VIOLATIONS,2020-02-06,MALE,WHITE,HISPANIC OR LATINX,45,NO,10,5,2020,1,2,Jamaica Plain,E13
101205,20200006613,202017960,1,31221,OPERATING AFTER REVOCATION OR SUSPENSION,NR,MOTOR VEHICLE VIOLATIONS,2020-03-05,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,63,NO,18,5,2020,1,3,Unknown,Unknown
101206,20200011418,202037795,1,21122,BREAKING AND ENTERING A BUILDING OR SHIP; INTENT TO COMMIT A FELONY,220,BURGLARY/B&E,2020-06-01,MALE,WHITE,NOT HISPANIC OR LATINX,29,NO,3,2,2020,2,6,South End,D4
101207,20200006805,202027198,1,11918,ASSAULT BY MEANS OF A DANGEROUS WEAPON,13A,AGGRAVATED ASSAULT,2020-04-15,MALE,WHITE,NOT HISPANIC OR LATINX,42,NO,13,4,2020,2,4,Roslindale,E18
101209,20200007013,202019206,1,31214,OPERATING M/V WITHOUT A LICENSE,NR,MOTOR VEHICLE VIOLATIONS,2020-03-10,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,35,NO,9,3,2020,1,3,Jamaica Plain,E13
101210,20200006805,202027198,2,12113,ASSAULT AND BATTERY,13A,AGGRAVATED ASSAULT,2020-04-15,MALE,WHITE,NOT HISPANIC OR LATINX,42,NO,13,4,2020,2,4,Roslindale,E18
